Date,Close
1/5/2014,50.34
12/29/2013,50.58
12/22/2013,48.52
12/15/2013,48.61
12/8/2013,45.65
12/1/2013,40.17
11/24/2013,39.94
11/17/2013,36.98
11/10/2013,38.5
11/3/2013,39.7
10/27/2013,38.74
10/20/2013,38.32
10/13/2013,35.68
10/6/2013,35.87
9/29/2013,32.82
9/22/2013,30.04
9/15/2013,33.73
9/8/2013,37.31
9/1/2013,38.16
8/25/2013,42.03
8/18/2013,43.43
8/11/2013,39.92
8/4/2013,40.14
7/28/2013,43.01
7/21/2013,45.12
7/14/2013,44.26
7/7/2013,45.15
6/30/2013,43.4
6/23/2013,41.19
6/16/2013,39.22
6/9/2013,40.22
6/2/2013,40.77
5/26/2013,43.81
5/19/2013,43.51
5/12/2013,42.31
5/5/2013,42.41
4/28/2013,42
4/21/2013,43.23
4/14/2013,42.27
4/7/2013,39.85
3/31/2013,37.93
3/24/2013,36.02
3/17/2013,37.7
3/10/2013,38.9
3/3/2013,38.97
2/24/2013,37.03
2/17/2013,36.13
2/10/2013,34.84
2/3/2013,35.27
1/27/2013,36.51
1/20/2013,34.76
1/13/2013,33.35
1/6/2013,33.57
12/30/2012,33.11
12/23/2012,29.56
12/16/2012,30.78
12/9/2012,29.16
12/2/2012,27.15
11/25/2012,26.63
11/18/2012,27.73
11/11/2012,26.59
11/4/2012,27.02
10/28/2012,25.1
10/21/2012,26.24
10/14/2012,26.66
10/7/2012,24.28
9/30/2012,23.99
9/23/2012,26.02
9/16/2012,26.92
9/9/2012,28.6
9/2/2012,29.1
8/26/2012,27.67
8/19/2012,27.36
8/12/2012,28.31
8/5/2012,27.17
7/29/2012,26.56
7/22/2012,26.4
7/15/2012,26.9
7/8/2012,27.7
7/1/2012,26.9
6/24/2012,27.59
6/17/2012,25.92
6/10/2012,26.42
6/3/2012,28.3
5/27/2012,29.51
5/20/2012,31.27
5/13/2012,29.06
5/6/2012,29.11
4/29/2012,29.11
4/22/2012,28.7
4/15/2012,29.34
4/8/2012,29.61
4/1/2012,26.64
3/25/2012,28.27
3/18/2012,29.07
3/11/2012,28.64
3/4/2012,28.77
2/26/2012,29.84
2/19/2012,28.49
2/12/2012,27.51
2/5/2012,25.31
1/29/2012,25.26
1/22/2012,26.71
1/15/2012,24.95
1/8/2012,25.65
1/1/2012,26.4
12/25/2011,26.9
12/18/2011,28.49
12/11/2011,25.9
12/4/2011,26.06
11/27/2011,26.15
11/20/2011,24.16
11/13/2011,25.23
11/6/2011,24.18
10/30/2011,21.63
10/23/2011,23.01
10/16/2011,24.2
10/9/2011,24.55
10/2/2011,25.23
9/25/2011,26.59
9/18/2011,25.97
9/11/2011,27.47
9/4/2011,27.27
8/28/2011,26.55
8/21/2011,28.91
8/14/2011,29.59
8/7/2011,29.35
7/31/2011,30.62
7/24/2011,30.11
7/17/2011,33.21
7/10/2011,31.2
7/3/2011,28.54
6/26/2011,31.61
6/19/2011,33.37
6/12/2011,34.11
6/5/2011,36.08
5/29/2011,36.67
5/22/2011,38.75
5/15/2011,40.05
5/8/2011,42.21
5/1/2011,42.71
4/24/2011,43.08
4/17/2011,43.61
4/10/2011,42.2
4/3/2011,40.94
3/27/2011,40.79
3/20/2011,40.44
3/13/2011,40.56
3/6/2011,40.89
2/27/2011,41.61
2/20/2011,40.81
2/13/2011,39.71
2/6/2011,39.98
1/30/2011,38.82
1/23/2011,40.44
1/16/2011,39.96
1/9/2011,38.43
1/2/2011,40.37
12/26/2010,43.24
12/19/2010,43.46
12/12/2010,43.13
12/5/2010,38.42
11/28/2010,36.05
11/21/2010,36.3
11/14/2010,35.76
11/7/2010,36.06
10/31/2010,36.11
10/24/2010,37.31
10/17/2010,37.84
10/10/2010,36.15
10/3/2010,37.2
9/26/2010,37.86
9/19/2010,36.76
9/12/2010,37.07
9/5/2010,37.62
8/29/2010,39.58
8/22/2010,41.31
8/15/2010,39.85
8/8/2010,38.85
8/1/2010,38.49
7/25/2010,38.5
7/18/2010,40.73
7/11/2010,40.07
7/4/2010,39.09
6/27/2010,40.05
6/20/2010,38.74
6/13/2010,37.16
6/6/2010,38.03
5/30/2010,39.65
5/23/2010,41.78
5/16/2010,39.51
5/9/2010,38.87
5/2/2010,38.62
4/25/2010,37.92
4/18/2010,39.6
4/11/2010,39.26
4/4/2010,38.46
3/28/2010,35.12
3/21/2010,36.65
3/14/2010,35.87
3/7/2010,35.37
2/28/2010,33.76
2/21/2010,34.88
2/14/2010,34.23
2/7/2010,31.84
1/31/2010,29.69
1/24/2010,28.92
1/17/2010,28.17
1/10/2010,29.82
1/3/2010,30.88
12/27/2009,30.68
12/20/2009,28.95
12/13/2009,28.48
12/6/2009,27.69
11/29/2009,28.55
11/22/2009,28.2
11/15/2009,28.52
11/8/2009,27.72
11/1/2009,27.51
10/25/2009,26.07
10/18/2009,26.81
10/11/2009,27.9
10/4/2009,28.47
9/27/2009,28.31
9/20/2009,29.76
9/13/2009,30.91
9/6/2009,29.83
8/30/2009,29.1
8/23/2009,30.32
8/16/2009,30.44
8/9/2009,31.32
8/2/2009,34.21
7/26/2009,37.97
7/19/2009,38.36
7/12/2009,36.65
7/5/2009,36.1
6/28/2009,35.73
6/21/2009,36.76
6/14/2009,35.03
6/7/2009,33.15
5/31/2009,35.55
5/24/2009,37.34
5/17/2009,34.16
5/10/2009,33.7
5/3/2009,32.62
4/26/2009,31.56
4/19/2009,32.4
4/12/2009,33.7
4/5/2009,30.05
3/29/2009,30.1
3/22/2009,31.28
3/15/2009,30.94
3/8/2009,29.08
3/1/2009,29.79
2/22/2009,27.49
2/15/2009,27.65
2/8/2009,28.16
2/1/2009,28.6
1/25/2009,27.92
1/18/2009,27.44
1/11/2009,29.64
1/4/2009,31.42
12/28/2008,29.95
12/21/2008,26.83
12/14/2008,26.08
12/7/2008,27.37
11/30/2008,28.01
11/23/2008,26.05
11/16/2008,25.24
11/9/2008,26.06
11/2/2008,27.46
10/26/2008,26.61
10/19/2008,27.15
10/12/2008,26.79
10/5/2008,26.32
9/28/2008,26.98
9/21/2008,28.1
9/14/2008,29.94
9/7/2008,27.99
8/31/2008,26.45
8/24/2008,28.1
8/17/2008,30.21
8/10/2008,29.85
8/3/2008,28.59
7/27/2008,29.41
7/20/2008,29.81
7/13/2008,29.05
7/6/2008,26.49
6/29/2008,25.98
6/22/2008,27.18
6/15/2008,27.28
6/8/2008,25.33
6/1/2008,25.23
5/25/2008,25.96
5/18/2008,27.35
5/11/2008,28.61
5/4/2008,26.87
4/27/2008,25.47
4/20/2008,25.6
4/13/2008,26.13
4/6/2008,26.41
3/30/2008,27.21
3/23/2008,28.03
3/16/2008,26.96
3/9/2008,25.71
3/2/2008,24.94
2/24/2008,25.92
2/17/2008,26.14
2/10/2008,25.35
2/3/2008,25.18
1/27/2008,24.69
1/20/2008,25.07
1/13/2008,26.77
1/6/2008,29
12/30/2007,28.79
12/23/2007,25.98
12/16/2007,25.21
12/9/2007,25.17
12/2/2007,25.14
11/25/2007,24.89
11/18/2007,24.22
11/11/2007,23.7
11/4/2007,23.9
10/28/2007,23.69
10/21/2007,23.99
10/14/2007,24.39
10/7/2007,24.77
9/30/2007,24.49
9/23/2007,25.36
9/16/2007,26.43
9/9/2007,26.95
9/2/2007,26.96
8/26/2007,27.52
8/19/2007,28.95
8/12/2007,28.11
8/5/2007,26.33
7/29/2007,25.73
7/22/2007,25.56
7/15/2007,24.87
7/8/2007,24.53
7/1/2007,24.77
6/24/2007,25.21
6/17/2007,25.33
6/10/2007,25.83
6/3/2007,26.17
5/27/2007,26.17
5/20/2007,26.54
5/13/2007,26.99
5/6/2007,27.33
4/29/2007,27.32
4/22/2007,28.76
4/15/2007,29.82
4/8/2007,29.22
4/1/2007,28.78
3/25/2007,29.17
3/18/2007,29.56
3/11/2007,28.22
3/4/2007,28.3
2/25/2007,30.62
2/18/2007,28.91
2/11/2007,27.19
2/4/2007,27.5
1/28/2007,28.33
1/21/2007,29.13
1/14/2007,28.38
1/7/2007,28.37
12/31/2006,28.26
12/24/2006,27.11
12/17/2006,27.55
12/10/2006,28.04
12/3/2006,28.73
11/26/2006,28.19
11/19/2006,26.85
11/12/2006,27.02
11/5/2006,27.57
10/29/2006,28.59
10/22/2006,29.24
10/15/2006,28.65
10/8/2006,28.06
10/1/2006,29.19
9/24/2006,30.67
9/17/2006,31.2
9/10/2006,31.17
9/3/2006,33.29
8/27/2006,36.12
8/20/2006,36.8
8/13/2006,37.24
8/6/2006,37.85
7/30/2006,38.13
7/23/2006,39
7/16/2006,37.91
7/9/2006,38.57
7/2/2006,42.51
6/25/2006,43.05
6/18/2006,41.07
6/11/2006,40.5
6/4/2006,40.76
5/28/2006,40.03
5/21/2006,37
5/14/2006,36.28
5/7/2006,36.48
4/30/2006,34.97
4/23/2006,34.58
4/16/2006,34.68
4/9/2006,34.82
4/2/2006,32.81
3/26/2006,31.18
3/19/2006,30.48
3/12/2006,29.78
3/5/2006,28.66
2/26/2006,27.55
2/19/2006,26.53
2/12/2006,26.68
2/5/2006,27.21
1/29/2006,28.54
1/22/2006,26.54
1/15/2006,25.7
1/8/2006,25.96
1/1/2006,26.79
12/25/2005,27.3
12/18/2005,28.08
12/11/2005,28.7
12/4/2005,27.07
11/27/2005,25.89
11/20/2005,25.51
11/13/2005,26.1
11/6/2005,26.54
10/30/2005,26.54
10/23/2005,26.43
10/16/2005,26.24
10/9/2005,25.67
10/2/2005,25.53
9/25/2005,25.67
9/18/2005,26.6
9/11/2005,27.67
9/4/2005,28.36
8/28/2005,27.91
8/21/2005,28
8/14/2005,27.86
8/7/2005,27.97
7/31/2005,29.58
7/24/2005,29.62
7/17/2005,29.28
7/10/2005,28.15
7/3/2005,26.57
6/26/2005,27.67
6/19/2005,28.17
6/12/2005,27.82
6/5/2005,25.36
5/29/2005,25.98
5/22/2005,26.4
5/15/2005,25.27
5/8/2005,24.59
5/1/2005,24.9
4/24/2005,24.9
4/17/2005,25.27
4/10/2005,25.56
4/3/2005,25.22
3/27/2005,25.13
3/20/2005,24.33
3/13/2005,24.44
3/6/2005,24.86
2/27/2005,25.05
2/20/2005,24.98
2/13/2005,24.99
2/6/2005,24.5
1/30/2005,23.75
1/23/2005,22.87
1/16/2005,22.67
1/9/2005,23.29
1/2/2005,23.57
12/26/2004,23.67
12/19/2004,22.88
12/12/2004,21.79
12/5/2004,21.06
11/28/2004,20.47
11/21/2004,20.44
11/14/2004,19.94
11/7/2004,20.11
10/31/2004,20.46
10/24/2004,20.86
10/17/2004,21.37
10/10/2004,21.46
10/3/2004,22.04
9/26/2004,22.47
9/19/2004,22.51
9/12/2004,22.29
9/5/2004,22.08
8/29/2004,22.39
8/22/2004,22.83
8/15/2004,23.45
8/8/2004,23.43
8/1/2004,22.46
7/25/2004,21.73
7/18/2004,21.25
7/11/2004,21.06
7/4/2004,21.25
6/27/2004,21.61
6/20/2004,21.61
6/13/2004,22.06
6/6/2004,22.91
5/30/2004,23.22
5/23/2004,23.71
5/16/2004,23.81
5/9/2004,24.37
5/2/2004,24.82
4/25/2004,25.08
4/18/2004,24.99
4/11/2004,25.1
4/4/2004,24.88
3/28/2004,24.73
3/21/2004,24.35
3/14/2004,23.77
3/7/2004,23.2
2/29/2004,23.05
2/22/2004,23.26
2/15/2004,23.3
2/8/2004,22.71
2/1/2004,21.86
1/25/2004,21.93
1/18/2004,22.25
1/11/2004,22.09
1/4/2004,22.06
12/28/2003,20.9
12/21/2003,20.61
12/14/2003,21.24
12/7/2003,21.24
11/30/2003,21.22
11/23/2003,20.66
11/16/2003,20.47
11/9/2003,21.03
11/2/2003,21.72
10/26/2003,22.58
10/19/2003,22.6
10/12/2003,22.67
10/5/2003,22.21
9/28/2003,21.78
9/21/2003,21.17
9/14/2003,20.86
9/7/2003,20.41
8/31/2003,19.65
8/24/2003,18.81
8/17/2003,18.48
8/10/2003,18.05
8/3/2003,18.09
7/27/2003,18.07
7/20/2003,18.26
7/13/2003,17.46
7/6/2003,17.67
6/29/2003,18.6
6/22/2003,18.76
6/15/2003,19.43
6/8/2003,19.27
6/1/2003,21.35
5/25/2003,22.2
5/18/2003,22.4
5/11/2003,22.43
5/4/2003,22.67
4/27/2003,22.95
4/20/2003,22.69
4/13/2003,22.84
4/6/2003,23.5
3/30/2003,23.44
3/23/2003,23.05
3/16/2003,22.91
3/9/2003,23.14
3/2/2003,22.52
2/23/2003,22.99
2/16/2003,22.97
2/9/2003,22.62
2/2/2003,22.68
1/26/2003,22.51
1/19/2003,22.78
1/12/2003,23.19
1/5/2003,22.93
12/29/2002,23.5
12/22/2002,23.39
12/15/2002,23
12/8/2002,22.45
12/1/2002,21.94
11/24/2002,22.47
11/17/2002,22.62
11/10/2002,22.78
11/3/2002,23.09
10/27/2002,22.93
10/20/2002,23.22
10/13/2002,23.68
10/6/2002,23.74
9/29/2002,23.85
9/22/2002,23.55
9/15/2002,23.71
9/8/2002,23.37
9/1/2002,23.48
8/25/2002,24.22
8/18/2002,24.05
8/11/2002,24.1
8/4/2002,23.25
7/28/2002,22.93
7/21/2002,22.8
7/14/2002,22.7
7/7/2002,22.82
6/30/2002,23.18
6/23/2002,23.44
6/16/2002,23.63
6/9/2002,24.24
6/2/2002,24.75
5/26/2002,25.21
5/19/2002,24.7
5/12/2002,24
5/5/2002,23.97
4/28/2002,23.96
4/21/2002,24.03
4/14/2002,23.87
4/7/2002,24.04
3/31/2002,23.79
3/24/2002,23.94
3/17/2002,23.57
3/10/2002,23.05
3/3/2002,22.73
2/24/2002,22.65
2/17/2002,22.39
2/10/2002,22.28
2/3/2002,22.65
1/27/2002,22.96
1/20/2002,22.28
1/13/2002,22.51
1/6/2002,23.21
12/30/2001,22.75
12/23/2001,22.86
12/16/2001,22.8
12/9/2001,22.71
12/2/2001,22.95
11/25/2001,23.22
11/18/2001,23.09
11/11/2001,23.5
11/4/2001,23.28
10/28/2001,23.98
10/21/2001,24.43
10/14/2001,24.66
10/7/2001,24.55
9/30/2001,25.08
9/23/2001,25.15
9/16/2001,25.66
9/9/2001,25.92
9/2/2001,25.91
8/26/2001,26.02
8/19/2001,26.05
8/12/2001,26.71
8/5/2001,26.32
7/29/2001,26.2
7/22/2001,26.31
7/15/2001,26.19
7/8/2001,26.69
7/1/2001,26.97
6/24/2001,27.03
6/17/2001,26.75
6/10/2001,27.07
6/3/2001,27.12
5/27/2001,27.13
5/20/2001,27.28
5/13/2001,27.36
5/6/2001,27.46
4/29/2001,27.77
4/22/2001,27.79
4/15/2001,27.77
4/8/2001,26.98
4/1/2001,27.21
3/25/2001,28.08
3/18/2001,28.09
3/11/2001,28
3/4/2001,27.44
2/25/2001,27.15
2/18/2001,26.85
2/11/2001,26.73
2/4/2001,26.27
1/28/2001,26.16
1/21/2001,26.58
1/14/2001,27.32
1/7/2001,28.04
12/31/2000,28.35
12/24/2000,27.93
12/17/2000,27.6
12/10/2000,26.71
12/3/2000,26.43
11/26/2000,26.65
11/19/2000,26.88
11/12/2000,27.2
11/5/2000,27.22
10/29/2000,27.13
10/22/2000,27.01
10/15/2000,27.76
10/8/2000,28.44
10/1/2000,29.18
9/24/2000,29.33
9/17/2000,29.51
9/10/2000,30.65
9/3/2000,32.03
8/27/2000,33.46
8/20/2000,34.07
8/13/2000,35.44
8/6/2000,36.09
